Category,Keyword,Tweet_Timestamp,Tweet_Content,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks,lemmatized_tweet,clean_tweet
TopPost,#parisolympics,2024-04-18,Gabby Thomas on the TODAY show #ParisOlympics,13,91,8.2K,"['gabby', 'thomas', 'today', 'show', 'parisolympics']",gabby thomas today show parisolympics
TopPost,#parisolympics,2024-08-07,Alexis Holmes advances to her FIRST Olympic final  #ParisOlympics,1.5K,11K,2.6M,"['alexis', 'holmes', 'advance', 'first', 'olympic', 'final', 'parisolympics']",alexis holmes advance first olympic final parisolympics
TopPost,#parisolympics,2024-08-03,Olympic medalist @itsshacarri #ParisOlympics,1.7K,16K,283K,"['olympic', 'medalist', 'parisolympics']",olympic medalist parisolympics
TopPost,#olympics2024,2024-08-02,Who did this!? #olympics2024,9,41,4.3K,['olympics2024'],olympics2024
TopPost,#olympics2024,2024-03-22,#Paris2024 with #EliteBrandsCo Book Early to Guarantee Availability http://EliteBrandsCo.nyc #PrivateJet #PrivateJets #PrivateJetCharter #PrivateJetCharters #Olympics2024 #SummerOlympics #2024Olympics #NYC #Paris #EliteBrands Teterboro to Le Bourget | (KTEB) - (LFPB),1,1,2.7K,"['paris2024', 'elitebrandsco', 'book', 'early', 'guarantee', 'availability', 'privatejet', 'privatejets', 'privatejetcharter', 'privatejetcharters', 'olympics2024', 'summerolympics', 'nyc', 'paris', 'elitebrands', 'teterboro', 'le', 'bourget', 'kteb', 'lfpb']",paris2024 elitebrandsco book early guarantee availability privatejet privatejets privatejetcharter privatejetcharters olympics2024 summerolympics nyc paris elitebrands teterboro le bourget kteb lfpb
TopPost,#olympics2024,2024-03-24,Jamaica @Olympics kit by @PUMA #Olympics2024 #TeamJamaica #ParisOlympics,129,390,42K,"['jamaica', 'kit', 'olympics2024', 'teamjamaica', 'parisolympics']",jamaica kit olympics2024 teamjamaica parisolympics
TopPost,#olympics2024,2024-02-18,à¤¹à¤¿à¤à¤¾à¤¬ à¤à¤¾à¤²à¥à¤¨ à¤à¤²à¤®à¥à¤ªà¤¿à¤à¤®à¤§à¥à¤¯à¥ à¤¬à¥à¤à¥à¤¸à¤¿à¤à¤ à¤à¥à¤³à¤£à¤¾à¤° 'à¤¹à¥' à¤¬à¥à¤à¥à¤¸à¤°#olympics #olympics2024 #paris #tinarahimi #boxing,1,15,3.8K,"['à', 'à', 'à', '¾à', 'à', 'à', '¾à', 'à', 'à', 'à', 'à', 'à', 'ªà', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', '¾à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'olympics', 'olympics2024', 'paris', 'tinarahimi', 'boxing']",à à à ¾à à à ¾à à à à à à ªà à à à à à à à à à à à à à à à à à à ¾à à à à à à à à olympics olympics2024 paris tinarahimi boxing
TopPost,#olympics2024,2024-02-26,The Super Falcons of Nigeria  are up against the Indomitable Lionesses of Cameroon  today in their 2024 Olympics qualifiers second leg cracker.Match kicks off by 4pm   @iamcali_e #nigeria #cameroon #Olympics #Olympics2024,2,6,722,"['super', 'falcon', 'nigeria', 'indomitable', 'lioness', 'cameroon', 'today', 'olympics', 'qualifier', 'second', 'leg', 'crackermatch', 'kick', 'nigeria', 'cameroon', 'olympics', 'olympics2024']",super falcon nigeria indomitable lioness cameroon today olympics qualifier second leg crackermatch kick nigeria cameroon olympics olympics2024
TopPost,#olympics2024,2024-03-18,"Plongez dans l'univers d'Alice Modolo ! Le 18 juin, elle portera fiÃ¨rement la Flamme Olympique, poussÃ©e par son amour pour l'apnÃ©e.Â #FlammeOlympique #ApnÃ©e #Olympics2024Â @AlpesMaritimes @ca_ginesy @VisitCotedazur @AliceModolo",4,87,6.6K,"['plongez', 'dans', 'lunivers', 'dalice', 'modolo', 'le', 'juin', 'elle', 'portera', 'fiã', 'rement', 'la', 'flamme', 'olympique', 'poussã', 'e', 'par', 'son', 'pour', 'lapnã', 'eâ', 'flammeolympique', 'apnã', 'e', 'olympics2024â']",plongez dans lunivers dalice modolo le juin elle portera fiã rement la flamme olympique poussã e par son pour lapnã eâ flammeolympique apnã e olympics2024â
TopPost,#paris2024,2024-08-08,O brasileiro assim assistindo o jogo:#Paris2024 #JogosOlÃ­mpicos,91,387,18K,"['brasileiro', 'assim', 'assistindo', 'jogoparis2024', 'jogosolã', 'mpicos']",brasileiro assim assistindo jogoparis2024 jogosolã mpicos
TopPost,#paris2024,2024-02-29,"FRANCE- Le ministre des transports Patrick Vergriete ne pense pas quâil y aura des grÃ¨ves pendant les JO parce que Â«Â ce nâest pas dans la culture ouvriÃ¨reÂ Â»#JO2024 #Paris2024 Pour rester informÃ©, suivez @LeDirectInfo",8,8,3.9K,"['france', 'le', 'pense', 'pa', 'quâ', 'il', 'aura', 'f', 'pendant', 'le', 'jo', 'parce', 'que', 'â', 'â', 'ce', 'nâ', 'est', 'pa', 'dans', 'la', 'culture', 'ouvriã', 'reâ', 'â', 'jo2024', 'paris2024', 'pour', 'rester', 'informã', 'suivez']",france le pense pa quâ il aura f pendant le jo parce que â â ce nâ est pa dans la culture ouvriã reâ â jo2024 paris2024 pour rester informã suivez
TopPost,#paris2024,2024-02-27,"Chasing the Olympic Dream. Impeccable vibes at the 2024 ISA World Surfing Games in Arecibo, Puerto Rico, as the worlds top surfers compete for the final #Paris2024 slots. #RoadToParis2024 | #OlympicQualifiers | @ISAsurfing",10,62,28K,"['chasing', 'olympic', 'dream', 'impeccable', 'vibe', 'isa', 'world', 'surfing', 'game', 'arecibo', 'puerto', 'rico', 'world', 'top', 'surfer', 'compete', 'final', 'paris2024', 'slot', 'roadtoparis2024', 'olympicqualifiers']",chasing olympic dream impeccable vibe isa world surfing game arecibo puerto rico world top surfer compete final paris2024 slot roadtoparis2024 olympicqualifiers
TopPost,#parisolympics,2024-08-08,"Upset here. Lyles didn't have the patented closing speed. NBC Sports on X: ""Letsile Tebogo pulls a STUNNING upset to win the menâs 200m gold medal! #ParisOlympics "" / X",1,1,969,"['upset', 'lyles', 'didnt', 'patented', 'closing', 'speed', 'sport', 'x', 'letsile', 'tebogo', 'pull', 'stunning', 'upset', 'win', 'menâ', 'gold', 'medal', 'parisolympics', 'x']",upset lyles didnt patented closing speed sport x letsile tebogo pull stunning upset win menâ gold medal parisolympics x
TopPost,#parisolympics,2024-08-08,Did you know this is how artistic swimmers do their hair? #ParisOlympics @daniellaaramirezzz,109,770,269K,"['know', 'artistic', 'swimmer', 'hair', 'parisolympics']",know artistic swimmer hair parisolympics
TopPost,#parisolympics,2024-08-05,AtenÃ§Ã£o. Olhem esse absurdoQue roubo na cara de pau.  EstÃ¡ escancarado. NÃ£o podemos aceitar e relevar issoA ÃRBITRA CHEFE que deu a nota baixa para a Rebeca Ã© Chinesa Olhem ela com a medalha da Chinesa que subiu ao pÃ³dio nas mÃ£osREVOLTANTE,3.9K,18K,1M,"['atenã', 'ã', 'olhem', 'esse', 'absurdoque', 'roubo', 'cara', 'aceitar', 'e', 'relevar', 'issoa', 'ã', 'rbitra', 'chefe', 'que', 'deu', 'nota', 'baixa', 'para', 'rebeca', 'ã', 'chinesa', 'olhem', 'com', 'medalha', 'da', 'chinesa', 'que', 'subiu', 'ao', 'pã³dio', 'mã', 'osrevoltante']",atenã ã olhem esse absurdoque roubo cara aceitar e relevar issoa ã rbitra chefe que deu nota baixa para rebeca ã chinesa olhem com medalha da chinesa que subiu ao pã³dio mã osrevoltante
TopPost,#parisolympics,2024-08-06,Mission accomplished for Gabby Thomas with a GOLD medal in the 200m! #ParisOlympics,8.8K,33K,3.5M,"['mission', 'accomplished', 'gabby', 'thomas', 'gold', 'medal', 'parisolympics']",mission accomplished gabby thomas gold medal parisolympics
TopPost,#parisolympics,2024-08-08,Team USA women's 4x100m qualifying splits. #ParisOlympics 11.34 - Melissa Jefferson10.02 - Twanisha Terry10.59 - Gabby Thomas9.99 - Sha'Carri Richardson,2K,14K,477K,"['team', 'usa', 'woman', 'qualifying', 'split', 'parisolympics', 'melissa', 'jefferson1002', 'twanisha', 'terry1059', 'gabby', 'thomas999', 'shacarri', 'richardson']",team usa woman qualifying split parisolympics melissa jefferson1002 twanisha terry1059 gabby thomas999 shacarri richardson
TopPost,#paris2024,2024-02-22,"From 1956 to 2016, this split screen will take you on a journey through time. Less than 6 months away from #Paris2024  but first, who are you supporting at the Gymnastics #FIGWorldCup in Cottbus? #RoadToParis2024 | #OlympicQualifiers",24,87,32K,"['split', 'screen', 'take', 'journey', 'time', 'le', 'month', 'away', 'paris2024', 'first', 'supporting', 'gymnastics', 'figworldcup', 'cottbus', 'roadtoparis2024', 'olympicqualifiers']",split screen take journey time le month away paris2024 first supporting gymnastics figworldcup cottbus roadtoparis2024 olympicqualifiers
TopPost,#paris2024,2024-02-26,Relive the amazing waves of the athletes who qualified for #Paris2024 at the 2023 ISA World Surfing Games in El Salvador.#RoadToParis2024 | #OlympicQualifiers,14,68,28K,"['relive', 'amazing', 'wave', 'athlete', 'qualified', 'paris2024', 'isa', 'world', 'surfing', 'game', 'salvadorroadtoparis2024', 'olympicqualifiers']",relive amazing wave athlete qualified paris2024 isa world surfing game salvadorroadtoparis2024 olympicqualifiers
TopPost,#parisolympics,2024-08-05,Elmo has arrived! Letâs do this!  #ParisOlympics,462,4.2K,269K,"['elmo', 'arrived', 'letâ', 'parisolympics']",elmo arrived letâ parisolympics
TopPost,#parisolympics,2024-08-08,How legendary is this moment from USA Artistic Swimming?! #ParisOlympics,106,652,50K,"['legendary', 'moment', 'usa', 'artistic', 'swimming', 'parisolympics']",legendary moment usa artistic swimming parisolympics
TopPost,#parisolympics,2024-08-07,GOOD AS GOLDThe women of @usacycling are Olympic champions in team pursuit!#ParisOlympics,1.6K,18K,270K,"['good', 'goldthe', 'woman', 'olympic', 'champion', 'team', 'pursuitparisolympics']",good goldthe woman olympic champion team pursuitparisolympics
TopPost,#paris2024,2024-02-29,"Los juegos olÃ­mpicos de #Paris2024 estÃ¡n cerca y el futuro de Guatemala es incierto. No se sabe si los atletas podrÃ¡n representar al paÃ­s, si podrÃ¡n uniformarse con los colores de la bandera. Â¿CÃ³mo llegamos a esto? Â¿Y quÃ© ha pasado? @Davidck7 responde.",15,26,3.9K,"['los', 'juegos', 'olã', 'mpicos', 'cerca', 'futuro', 'atletas', 'podrã', 'n', 'representar', 'al', 'paã', 'si', 'podrã', 'n', 'uniformarse', 'con', 'los', 'colores', 'cã³mo', 'llegamos', 'esto', 'â', 'quã', 'ha', 'pasado', 'responde']",los juegos olã mpicos cerca futuro atletas podrã n representar al paã si podrã n uniformarse con los colores cã³mo llegamos esto â quã ha pasado responde
TopPost,#paris2024,2024-08-08,Ã LA FINALE! #Paris2024 x #Basketball,1K,4.5K,262K,"['ã', 'la', 'finale', 'paris2024', 'x', 'basketball']",ã la finale paris2024 x basketball
TopPost,#paris2024,2024-08-08,GOLDEN GIRL  GOLDEN BOY Tokyo 2020 gold medalist Hidilyn Diaz is with two-time Olympic gold medalist Carlos Yulo for a fun trip around Paris after Caloyâs historic run in the #OlympicGames!#Paris2024 #100TaongLaban #ParaSaBayan,1.7K,11K,129K,"['golden', 'girl', 'golden', 'boy', 'tokyo', 'gold', 'medalist', 'hidilyn', 'diaz', 'twotime', 'olympic', 'gold', 'medalist', 'carlos', 'yulo', 'fun', 'trip', 'paris', 'caloyâ', 'historic', 'run', 'olympicgamesparis2024', 'parasabayan']",golden girl golden boy tokyo gold medalist hidilyn diaz twotime olympic gold medalist carlos yulo fun trip paris caloyâ historic run olympicgamesparis2024 parasabayan
TopPost,#paris2024,2024-08-08,"African Champ now, World Champ  #Paris2024 #Olympics #OlympicGames #Botswana",3,15,811,"['african', 'champ', 'world', 'champ', 'paris2024', 'olympics', 'olympicgames', 'botswana']",african champ world champ paris2024 olympics olympicgames botswana
TopPost,#parisolympics,2024-08-08,POV: You realize you've just become an Olympic champion.  #ParisOlympics,53,354,3.2K,"['pov', 'realize', 'youve', 'become', 'olympic', 'champion', 'parisolympics']",pov realize youve become olympic champion parisolympics
TopPost,#parisolympics,2024-08-07,"âLook at us. Hey, look at us! Who would have thought?â #ParisOlympics #SlimeyInParis",798,7.6K,141K,"['â', 'look', 'u', 'hey', 'look', 'u', 'thoughtâ', 'parisolympics', 'slimeyinparis']",â look u hey look u thoughtâ parisolympics slimeyinparis
TopPost,#parisolympics,2024-08-08,Nikki Hiltz advances to their first Olympic 1500m final after an intense finish at Stade de France.  #ParisOlympics  NBC & Peacock,64,547,112K,"['nikki', 'hiltz', 'advance', 'first', 'olympic', 'final', 'intense', 'finish', 'stade', 'france', 'parisolympics', 'nbc', 'peacock']",nikki hiltz advance first olympic final intense finish stade france parisolympics nbc peacock
TopPost,#parisolympics,2024-08-04,"Algeriaâs Kaylia Nemour put on one of her best performances in the uneven bars final to win gold, and Simone Biles loved it. #ParisOlympics",276,2K,179K,"['algeriaâ', 'kaylia', 'nemour', 'put', 'best', 'performance', 'uneven', 'bar', 'final', 'win', 'gold', 'simone', 'bile', 'loved', 'parisolympics']",algeriaâ kaylia nemour put best performance uneven bar final win gold simone bile loved parisolympics
TopPost,#paris2024,2024-08-08,Ã LA FINALE! #Paris2024 x #Basketball,1K,4.5K,263K,"['ã', 'la', 'finale', 'paris2024', 'x', 'basketball']",ã la finale paris2024 x basketball
TopPost,#paris2024,2024-02-17,"Tickets to Paris booked With the Menâs Water Polo competition at Doha 2024 wrapped up, the spots for #Paris2024 are set! Here are your qualified teams!#roadtoparis2024 #aquadoha2024@worldaquatics",13,62,31K,"['ticket', 'paris', 'booked', 'menâ', 'water', 'polo', 'competition', 'doha', 'wrapped', 'spot', 'paris2024', 'set', 'qualified', 'teamsroadtoparis2024', 'aquadoha2024']",ticket paris booked menâ water polo competition doha wrapped spot paris2024 set qualified teamsroadtoparis2024 aquadoha2024
TopPost,#paris2024,2024-08-06,"Con la vestimenta tÃ­pica de Veracruz, los papÃ¡s de Samantha RodrÃ­guez, integrante del equipo mexicano de nataciÃ³n artÃ­stica, apoyan a su hija y al representativo nacional en los Juegos OlÃ­mpicos de #Paris2024 Video: Todo, menos fÃºtbolFoto: EFEhttps://x.com/todomenosfut/s/todomenosfut/status/1820864162828054689/video/1â¦",130,975,48K,"['con', 'la', 'tã', 'pica', 'los', 'papã', 'artã', 'stica', 'apoyan', 'su', 'hija', 'al', 'representativo', 'nacional', 'juegos', 'olã', 'mpicos', 'video', 'todo', 'menos', 'fãºtbolfoto', 'efe']",con la tã pica los papã artã stica apoyan su hija al representativo nacional juegos olã mpicos video todo menos fãºtbolfoto efe
TopPost,#paris2024,2024-08-08,PRIMER LUGAR  Tonatiu LÃ³pez avanza a la semifinal tras quedar en primer lugar de su repechaje en #Paris2024,1K,17K,391K,"['primer', 'lugar', 'tonatiu', 'lã³pez', 'avanza', 'semifinal', 'tras', 'quedar', 'primer', 'lugar', 'repechaje', 'paris2024']",primer lugar tonatiu lã³pez avanza semifinal tras quedar primer lugar repechaje paris2024
TopPost,#parisolympics,2024-08-08,The jump that won Tara Davis-Woodhall her FIRST Olympic long jump GOLD MEDAL.  #ParisOlympics,51,219,7.2K,"['jump', 'tara', 'daviswoodhall', 'first', 'olympic', 'long', 'jump', 'gold', 'medal', 'parisolympics']",jump tara daviswoodhall first olympic long jump gold medal parisolympics
TopPost,#parisolympics,2024-04-17,"Track and Field athlete Tara Davis-Woodhall poses for a portrait during the 2024 @TeamUSA Media Summit on April 16, 2024 in New York City. @tar___ruh #ParisOlympics#GettyFootage @albello55 https://tinyurl.com/bddna5du",13,61,35K,"['track', 'field', 'athlete', 'tara', 'daviswoodhall', 'pose', 'portrait', 'medium', 'summit', 'new', 'york', 'city', 'parisolympicsgettyfootage']",track field athlete tara daviswoodhall pose portrait medium summit new york city parisolympicsgettyfootage
TopPost,#parisolympics,2024-04-17,What if our greatest basketball players were stacked on one team? No more what-ifs. #USABMNT x #ParisOlympics,1.1K,3.1K,480K,"['greatest', 'basketball', 'player', 'stacked', 'team', 'whatifs', 'usabmnt', 'x', 'parisolympics']",greatest basketball player stacked team whatifs usabmnt x parisolympics
TopPost,#parisolympics,2024-04-18,Always a pleasure  Never a chore To see the lovely Twinnies Come though the door  wishing them both all the best in Olympic Year Lina F J Nielsen Laviai Nielsen@BritAthletics #ParisOlympics Let's GO LADIES !!!,1,15,2.2K,"['always', 'pleasure', 'never', 'chore', 'see', 'lovely', 'twinnies', 'come', 'door', 'wishing', 'best', 'olympic', 'year', 'lina', 'f', 'j', 'nielsen', 'laviai', 'parisolympics', 'let', 'go', 'lady']",always pleasure never chore see lovely twinnies come door wishing best olympic year lina f j nielsen laviai parisolympics let go lady
TopPost,#paris2024,2024-08-08,PRIMER LUGAR  Tonatiu LÃ³pez avanza a la semifinal tras quedar en primer lugar de su repechaje en #Paris2024,1K,17K,392K,"['primer', 'lugar', 'tonatiu', 'lã³pez', 'avanza', 'semifinal', 'tras', 'quedar', 'primer', 'lugar', 'repechaje', 'paris2024']",primer lugar tonatiu lã³pez avanza semifinal tras quedar primer lugar repechaje paris2024
TopPost,#paris2024,2024-02-17,"The joy of securing your countryâs ticket to the Olympic Games! With the Women's Water Polo competition at Doha 2024 coming to a close, the spots for #Paris2024 are now all set! Here are all your qualified teams!@WorldAquatics #roadtoparis2024 #AquaDoha2024",9,52,27K,"['joy', 'securing', 'countryâ', 'ticket', 'olympic', 'game', 'woman', 'water', 'polo', 'competition', 'doha', 'coming', 'close', 'spot', 'paris2024', 'set', 'qualified', 'team', 'roadtoparis2024', 'aquadoha2024']",joy securing countryâ ticket olympic game woman water polo competition doha coming close spot paris2024 set qualified team roadtoparis2024 aquadoha2024
TopPost,#paris2024,2024-02-14,HISTORY-MAKER! @WiffenDaniel #Ireland #Irish #Swimming #TeamIreland #Paris2024,6,51,1.3K,"['historymaker', 'ireland', 'irish', 'swimming', 'teamireland', 'paris2024']",historymaker ireland irish swimming teamireland paris2024
TopPost,#paris2024,2024-02-01,"Bye Moongcho! Bonjour Phryge! As we bid goodbye to our beloved #Gangwon2024 mascot, we're already excited for the Phryges adventures at #Paris2024! Let's take a trip down memory lane: what was your favourite Moongcho moment?",23,109,28K,"['bye', 'bonjour', 'phryge', 'bid', 'goodbye', 'beloved', 'gangwon2024', 'mascot', 'already', 'excited', 'phryges', 'adventure', 'paris2024', 'let', 'take', 'trip', 'memory', 'lane', 'favourite', 'moongcho', 'moment']",bye bonjour phryge bid goodbye beloved gangwon2024 mascot already excited phryges adventure paris2024 let take trip memory lane favourite moongcho moment
TopPost,#paris2024,2024-02-09,"Maha Amer clinches bronze at the World Aquatic Championships in Doha, marking a historic achievement for Egypt with its first diving medal ever! Having secured a quota spot last month, she looks forward to #Paris2024 Olympics",10,41,22K,"['maha', 'amer', 'clinch', 'bronze', 'world', 'aquatic', 'championship', 'doha', 'marking', 'historic', 'achievement', 'egypt', 'first', 'diving', 'medal', 'ever', 'secured', 'quota', 'spot', 'last', 'month', 'look', 'forward', 'paris2024', 'olympics']",maha amer clinch bronze world aquatic championship doha marking historic achievement egypt first diving medal ever secured quota spot last month look forward paris2024 olympics
TopPost,#parisolympics,2024-08-08,The jump that won Tara Davis-Woodhall her FIRST Olympic long jump GOLD MEDAL.  #ParisOlympics,51,229,8.3K,"['jump', 'tara', 'daviswoodhall', 'first', 'olympic', 'long', 'jump', 'gold', 'medal', 'parisolympics']",jump tara daviswoodhall first olympic long jump gold medal parisolympics
TopPost,#parisolympics,2024-04-17,Team USA takes Paris in 100 days #ParisOlympics arrive July 26 on Peacock.,4,45,9.8K,"['team', 'usa', 'take', 'paris', 'day', 'parisolympics', 'arrive', 'july', 'peacock']",team usa take paris day parisolympics arrive july peacock
TopPost,#parisolympics,2024-04-15,Camera ready for Team USA Media Summit  Follow BTS on our IG Stories with Perry and Ilona as we hype up toward the #ParisOlympics,12,45,12K,"['camera', 'ready', 'team', 'usa', 'medium', 'summit', 'follow', 'bts', 'ig', 'story', 'perry', 'ilona', 'hype', 'parisolympics']",camera ready team usa medium summit follow bts ig story perry ilona hype parisolympics
TopPost,#parisolympics,2024-04-17,Only 100 days until our athletes show the world what it means to be #OneForAll   #ParisOlympics,41,124,87K,"['day', 'athlete', 'show', 'world', 'mean', 'oneforall', 'parisolympics']",day athlete show world mean oneforall parisolympics
TopPost,#parisolympics,2024-04-17,"At Tokyo 2020, current Tottenham Hotspur star Richarlison scored a hat trick in the FIRST HALF to lead Brazil past Germany in the group stage! The #ParisOlympics kick off in 100 days on @nbc and @peacock!",3,20,24K,"['tokyo', 'current', 'tottenham', 'hotspur', 'star', 'richarlison', 'scored', 'trick', 'first', 'half', 'lead', 'brazil', 'germany', 'group', 'stage', 'parisolympics', 'kick', 'day']",tokyo current tottenham hotspur star richarlison scored trick first half lead brazil germany group stage parisolympics kick day
TopPost,#paris2024,2024-02-15,Vennekamp on the #PathToParis Relive Doreen Vennekamp's European Championships win as she secured #Paris2024 qualification in the 25m Pistol #ISSF | #Shooting,3,28,1.9K,"['vennekamp', 'pathtoparis', 'relive', 'doreen', 'vennekamps', 'european', 'championship', 'win', 'secured', 'paris2024', 'qualification', 'pistol', 'issf', 'shooting']",vennekamp pathtoparis relive doreen vennekamps european championship win secured paris2024 qualification pistol issf shooting
TopPost,#paris2024,2024-02-09,Can't get enough of the beautiful and iconic Olympic medals for #Paris2024? Here's a closer behind-the-scenes look.  #RoadToParis2024,49,190,36K,"['cant', 'get', 'enough', 'beautiful', 'iconic', 'olympic', 'medal', 'paris2024', 'here', 'closer', 'behindthescenes', 'look', 'roadtoparis2024']",cant get enough beautiful iconic olympic medal paris2024 here closer behindthescenes look roadtoparis2024
TopPost,#parisolympics,2024-04-17,Tiny mic at the top  Kite sailor Daniela Moroz and Team USA hit the @EmpireStateBldg to mark 100 days out from the #ParisOlympics!,16,83,23K,"['tiny', 'mic', 'top', 'kite', 'sailor', 'daniela', 'moroz', 'team', 'usa', 'hit', 'mark', 'day', 'parisolympics']",tiny mic top kite sailor daniela moroz team usa hit mark day parisolympics
TopPost,#parisolympics,2024-08-08,WHAT A COMEBACK FROM QUINCY HALL! He wins GOLD in the men's 400m. #ParisOlympics,582,2.8K,586K,"['comeback', 'quincy', 'hall', 'win', 'gold', 'men', 'parisolympics']",comeback quincy hall win gold men parisolympics
TopPost,#parisolympics,2024-04-17,Marking  days out in style!Team USA stopped by @TODAYshow to celebrate.#ParisOlympics,23,141,31K,"['marking', 'day', 'styleteam', 'usa', 'stopped', 'celebrateparisolympics']",marking day styleteam usa stopped celebrateparisolympics
TopPost,#olympics2024,2024-04-07,#Paris is ready for #Olympics2024,14,42,2K,"['paris', 'ready', 'olympics2024']",paris ready olympics2024
TopPost,#olympics2024,2024-08-07,à¹à¸à¹à¸à¸¡à¸²à¸à¹à¹à¸¥à¸¢à¸à¹à¸²à¸à¸à¹à¸­à¸à¸à¹à¸²à¸#à¸¢à¸à¸à¹à¸³à¸«à¸à¸±à¸ #Olympics2024 #à¹à¸­à¸¥à¸´à¸¡à¸à¸´à¸2024 #à¸à¸²à¸£à¸µà¸ª2024 #à¹à¸­à¸¥à¸´à¸¡à¸à¸´à¸à¹à¸à¸¡à¸ªà¹,2,10,1.2K,"['à¹', 'à', 'à¹', 'à', 'à', 'à', 'à¹', 'à¹', 'à', 'à', 'à', 'à¹', 'à', 'à', 'à¹', 'à', 'à', 'à', 'à¹', 'à', 'à', 'à', 'à', 'à¹', 'à', 'à', 'à', 'à', 'à¹', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'µà', 'ª2024', 'à¹', 'à', 'à', 'à', 'à', 'à', 'à', 'à', 'à¹', 'à', 'à', 'à', 'ªà¹']",à¹ à à¹ à à à à¹ à¹ à à à à¹ à à à¹ à à à à¹ à à à à à¹ à à à à à¹ à à à à à à à à à à µà ª2024 à¹ à à à à à à à à¹ à à à ªà¹
TopPost,#olympics2024,2024-08-03,What Sport is this?? #Trending #Chelsea #Haaland #BBNaija #OlympicGames #OlympicGames #OlympicGamesParis2024 #Olympics2024 #Olympics2024Paris #protest,2,15,10K,"['sport', 'trending', 'chelsea', 'haaland', 'bbnaija', 'olympicgames', 'olympicgames', 'olympicgamesparis2024', 'olympics2024', 'olympics2024paris', 'protest']",sport trending chelsea haaland bbnaija olympicgames olympicgames olympicgamesparis2024 olympics2024 olympics2024paris protest
TopPost,#olympics2024,2024-08-08,Noah looks not 100%... #Olympics2024 #Paris2024,1,2,104,"['noah', 'look', 'paris2024']",noah look paris2024
TopPost,#olympics2024,2024-08-06,The #Olympics2024 highlights so far..,1,12,998,"['olympics2024', 'highlight', 'far']",olympics2024 highlight far
TopPost,#olympics2024,2024-08-08,Haryana to honour Vinesh Phogat like silver medalist. Watch this report #ITVideo #VineshPhogat #Olympics2024 #Wrestling @poojashali,3,20,3.2K,"['haryana', 'honour', 'vinesh', 'phogat', 'silver', 'medalist', 'watch', 'report', 'itvideo', 'vineshphogat', 'olympics2024', 'wrestling']",haryana honour vinesh phogat silver medalist watch report itvideo vineshphogat olympics2024 wrestling
TopPost,#olympics2024,2024-08-07,Jamaicaâs Orlando Bennett has made it to the final of the menâs 110m hurdles on his Olympic debut. The 24-year-old clocked 13.09 seconds to win semi-final three and secure his place in the final.: @taylor2nd#GLNRSports#ParisExpress#Olympics2024 #Paris2024,2,15,1.7K,"['jamaicaâ', 'orlando', 'bennett', 'made', 'final', 'menâ', 'hurdle', 'olympic', 'debut', 'clocked', 'second', 'win', 'semifinal', 'secure', 'place', 'final', 'glnrsportsparisexpressolympics2024', 'paris2024']",jamaicaâ orlando bennett made final menâ hurdle olympic debut clocked second win semifinal secure place final glnrsportsparisexpressolympics2024 paris2024
